dataset,experiment,environment,label,spp,Country,Region,Region_4,Lat,Lon,Alt,Pop_Ind,Pop,Ind,block,treatment,germDate,survival,flDate_1,flDate_2,no_fl ,height,no_stem,no_buds,frDate_1,SowDate
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.93551111,-5.711172222,529,6_1,6,1,4,Control,05/02/2019,1,19/05/2019,07/08/2019,2,37.7,9,0,09/09/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South B,Spain South,37.93551111,-5.711172222,529,6_26,6,26,7,Control,09/05/2019,1,23/11/2019,NA,1,42.5,11,4,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.93551111,-5.711172222,529,6_26,6,26,NA,Control,05/02/2019,1,05/08/2019,07/08/2019,2,50,7,6,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.93551111,-5.711172222,529,6_29,6,29,5,Control,05/02/2019,1,23/08/2019,26/08/2019,2,47.5,5,3,16/09/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,38.25336111,-4.317388889,752,7_17,7,17,2,Control,05/02/2019,1,06/06/2019,11/06/2019,2,36,8,1,26/06/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,38.33105278,-3.580855556,710,11_23,11,23,8,Control,05/02/2019,1,13/07/2019,NA,1,42,15,0,05/08/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,UK,UK North,UK,53.13731111,-1.143669444,124,Man_4,Man,4,6,Control,10/05/2019,1,10/12/2019,NA,1,49,17,3,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,UK,UK North,UK,53.13731111,-1.143669444,124,Man_4,Man,4,7,Control,05/02/2019,1,05/09/2019,14/09/2019,2,26,8,1,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,UK,UK North,UK,53.13731111,-1.143669444,124,Man_5,Man,5,7,Control,05/02/2019,1,24/08/2019,05/09/2019,2,38,8,1,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,UK,UK North,UK,53.13731111,-1.143669444,124,Man_8,Man,8,5,Control,05/02/2019,1,19/11/2019,NA,1,33,30,8,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,UK,UK North,UK,53.30307222,-3.553280556,5,Tym_5,Tym,5,1,Control,10/05/2019,1,25/11/2019,NA,1,33.5,22,0,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,UK,UK North,UK,53.30307222,-3.553280556,5,Tym_30,Tym,30,2,Control,05/02/2019,1,12/07/2019,15/07/2019,2,31,6,2,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,UK,UK South,UK,50.68183333,-1.074916667,9,IOW2_2,IOW2,2,1,Control,09/05/2019,1,22/07/2019,25/07/2019,2,17.5,4,2,12/08/2019,30/04/2019
Durham,vernalisation,ASK,star,bienne,UK,UK South,UK,50.68183333,-1.074916667,9,IOW2_2,IOW2,2,6,Control,05/02/2019,1,27/03/2019,28/03/2019,2,25.5,8,7,03/05/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,UK,UK South,UK,50.68183333,-1.074916667,9,IOW2_25,IOW2,25,3,Control,05/02/2019,1,03/04/2019,17/04/2019,1,23,2,0,03/05/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,UK,UK South,UK,50.68183333,-1.074916667,9,IOW2_25,IOW2,25,3_1,Control,09/05/2019,1,14/07/2019,19/07/2019,2,26.5,5,1,08/08/2019,30/04/2019
Durham,vernalisation,ASK,star,bienne,UK,UK South,UK,50.68183333,-1.074916667,9,IOW2_26,IOW2,26,3,Control,05/02/2019,1,05/09/2019,NA,1,23,18,1,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,UK,UK South,UK,50.69146667,-1.0954,1,IOW1_11,IOW1,11,2,Control,05/02/2019,1,09/12/2019,NA,1,36,15,0,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,UK,UK South,UK,50.69146667,-1.0954,1,IOW1_17,IOW1,17,2,Control,05/02/2019,1,04/11/2019,12/11/2019,2,36,18,1,NA,23/01/2019
Durham,vernalisation,garden,star,usitatissimum,,,,,,,Ara,Ara,NA,4,Control,05/02/2019,1,19/04/2019,22/04/2019,1,78.5,1,2,31/05/2019,23/01/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Ara,Ara,NA,7,Control,07/05/2019,1,23/07/2019,27/07/2019,3,93,3,4,NA,30/04/2019
Durham,vernalisation,glasshouse,circle,usitatissimum,,,,,,,Ari,Ari,NA,5,Control,07/05/2019,1,03/07/2019,05/07/2019,3,63.5,4,8,24/09/2019,30/04/2019
Durham,vernalisation,glasshouse,star,usitatissimum,,,,,,,Ari,Ari,NA,6,Control,05/02/2019,1,22/03/2019,26/03/2019,1,88.5,2,4,13/05/2019,23/01/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Ari,Ari,NA,3_2,Control,09/05/2019,1,14/07/2019,18/07/2019,2,91.5,3,3,NA,30/04/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Ble,Ble,NA,1,Control,07/05/2019,1,25/06/2019,29/06/2019,3,62,1,2,NA,30/04/2019
Durham,vernalisation,garden,star,usitatissimum,,,,,,,Ble,Ble,NA,3,Control,05/02/2019,1,15/03/2019,21/03/2019,4,45,3,8,NA,23/01/2019
Durham,vernalisation,glasshouse,star,usitatissimum,,,,,,,Ble,Ble,NA,6,Control,05/02/2019,1,24/03/2019,25/03/2019,1,58,1,4,03/05/2019,23/01/2019
